OTUid,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_12,Plantae,Anthophyta,Eudicotyledonae,Fagales,Fagaceae,Quercus,Quercus_sp_2267
OTU_40,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,Trebouxia_sp_24420
OTU_47,Plantae,Plantae_unidentified_sp_30170,,,,,
OTU_62,Plantae,Anthophyta,Eudicotyledonae,Fagales,Fagaceae,Quercus,Quercus_sp_2267
OTU_63,Plantae,Plantae_unidentified_sp_21857,,,,,
OTU_71,Plantae,Plantae_unidentified_sp_22751,,,,,
OTU_72,Plantae,Plantae_unidentified_sp_21857,,,,,
OTU_73,Plantae,Plantae_unidentified_sp_30170,,,,,
OTU_76,Plantae,Plantae_unidentified_sp_1918,,,,,
OTU_82,Plantae,Plantae_unidentified_sp_22751,,,,,
OTU_83,Plantae,Plantae_unidentified_sp_21857,,,,,
OTU_85,Plantae,Plantae_unidentified_sp_26242,,,,,
