OTU ID	A11	A12	A13	A14	A21	A22	A23	A24	A31	A32	A33	A34	B11	B12	B13	B14	B21	B22	B23	B24	B31	B32	B33	B34	B41	B42	B43	B44	B51	B52	B53	B54	B61	B62	B63	B64	C51	C52	C53	C61	C62	C63	C64	C71	C72	C73	C74	Mock	NC	PC	taxonomy
GAOK01049512.6271.8188	36878.0	36139.0	79275.0	82344.0	60601.0	38188.0	45488.0	54018.0	92313.0	74947.0	80226.0	95460.0	44549.0	57951.0	54708.0	23025.0	109513.0	106538.0	120412.0	111783.0	103957.0	50503.0	117023.0	83575.0	74177.0	53896.0	69995.0	106677.0	116123.0	87872.0	105795.0	92085.0	37975.0	45776.0	78969.0	33990.0	98354.0	119151.0	109927.0	76978.0	95549.0	95516.0	93141.0	101583.0	112858.0	100480.0	113598.0	700.0	38.0	49.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Chloroplast; D_4__Cercis gigantea; D_5__Cercis gigantea; D_6__Cercis gigantea
MAMN01000047.249174.251307	10921.0	10712.0	22476.0	25423.0	17863.0	10950.0	17954.0	11502.0	28466.0	25537.0	20922.0	28824.0	5953.0	9840.0	7132.0	2008.0	24299.0	25396.0	30799.0	25841.0	27985.0	7929.0	28411.0	24235.0	7854.0	4592.0	9663.0	30607.0	46071.0	21835.0	34480.0	23041.0	9529.0	7002.0	9328.0	5116.0	41003.0	35022.0	31017.0	24040.0	31465.0	26423.0	32234.0	34771.0	36955.0	31109.0	35473.0	103.0	9.0	14.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rickettsiales; D_4__Mitochondria
GEOZ01011694.30.1896	77.0	74.0	175.0	171.0	166.0	69.0	83.0	125.0	176.0	166.0	151.0	166.0	67.0	122.0	138.0	76.0	212.0	260.0	228.0	211.0	170.0	111.0	246.0	150.0	147.0	104.0	154.0	209.0	205.0	184.0	201.0	213.0	89.0	110.0	198.0	79.0	217.0	230.0	218.0	162.0	173.0	199.0	200.0	222.0	241.0	239.0	267.0	1.0	0.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Chloroplast
BABK02029359.1608.3968	638.0	604.0	1332.0	1667.0	1070.0	709.0	1061.0	718.0	1686.0	1528.0	1272.0	1886.0	373.0	647.0	451.0	131.0	1415.0	1373.0	1716.0	1484.0	1614.0	539.0	1668.0	1442.0	460.0	268.0	584.0	1882.0	2359.0	1318.0	1984.0	1424.0	567.0	399.0	575.0	352.0	2345.0	1987.0	1810.0	1617.0	1920.0	1469.0	1612.0	1865.0	2109.0	1830.0	1983.0	5.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rickettsiales; D_4__Mitochondria
GDAX01048398.486.2474	663.0	623.0	1202.0	1361.0	1003.0	584.0	880.0	994.0	1830.0	1301.0	1235.0	1563.0	827.0	915.0	1097.0	462.0	2059.0	1884.0	1748.0	1590.0	1551.0	837.0	2162.0	1679.0	1533.0	871.0	1139.0	1561.0	1680.0	1200.0	2003.0	1697.0	655.0	754.0	1197.0	497.0	1498.0	1541.0	2070.0	1380.0	1868.0	1617.0	1349.0	1452.0	1732.0	1537.0	2198.0	9.0	0.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Chloroplast
CSVX01060293.139.2071	201.0	190.0	472.0	480.0	379.0	270.0	243.0	332.0	546.0	442.0	560.0	669.0	300.0	360.0	355.0	138.0	641.0	631.0	751.0	728.0	631.0	329.0	690.0	494.0	467.0	324.0	429.0	683.0	752.0	515.0	688.0	523.0	233.0	265.0	449.0	225.0	566.0	752.0	656.0	486.0	610.0	545.0	530.0	622.0	682.0	586.0	729.0	4.0	0.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Chloroplast
GDAH01000844.40.1969	166.0	155.0	300.0	257.0	176.0	156.0	250.0	74.0	291.0	197.0	138.0	185.0	23.0	49.0	27.0	13.0	483.0	520.0	479.0	344.0	296.0	42.0	448.0	328.0	53.0	18.0	40.0	422.0	785.0	173.0	698.0	236.0	58.0	24.0	43.0	22.0	650.0	713.0	490.0	318.0	557.0	512.0	557.0	499.0	543.0	515.0	581.0	1.0	2.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rickettsiales; D_4__Mitochondria
GCKC01172285.99.1797	73.0	72.0	195.0	213.0	111.0	76.0	158.0	82.0	212.0	127.0	115.0	242.0	53.0	84.0	47.0	19.0	155.0	169.0	221.0	159.0	208.0	50.0	178.0	194.0	58.0	48.0	60.0	208.0	281.0	185.0	224.0	163.0	66.0	45.0	55.0	36.0	275.0	233.0	237.0	153.0	207.0	147.0	221.0	220.0	283.0	197.0	234.0	1.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rickettsiales; D_4__Mitochondria; D_5__Gleditsia sinensis; D_6__Gleditsia sinensis
AYOE01013165.43024.44276	147.0	135.0	277.0	362.0	225.0	133.0	155.0	219.0	319.0	250.0	291.0	335.0	157.0	205.0	216.0	98.0	348.0	364.0	375.0	377.0	404.0	179.0	409.0	302.0	275.0	152.0	268.0	416.0	358.0	302.0	369.0	315.0	169.0	142.0	255.0	164.0	337.0	332.0	368.0	274.0	286.0	297.0	293.0	319.0	344.0	276.0	389.0	5.0	1.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Chloroplast; D_4__Gossypium arboreum; D_5__Gossypium arboreum; D_6__Gossypium arboreum
JR951091.270.2233	32.0	17.0	37.0	58.0	87.0	26.0	30.0	25.0	47.0	59.0	28.0	70.0	16.0	18.0	15.0	2.0	45.0	38.0	39.0	74.0	119.0	16.0	39.0	52.0	21.0	6.0	22.0	81.0	205.0	51.0	61.0	69.0	13.0	12.0	5.0	17.0	150.0	50.0	61.0	53.0	68.0	52.0	43.0	91.0	147.0	41.0	64.0	1.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rickettsiales; D_4__Mitochondria
JF833468.1.1560	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Gammaproteobacteria Incertae Sedis; D_4__Unknown Family; D_5__Acidibacter; D_6__uncultured gamma proteobacterium
EU797470.1.1498	27.0	16.0	73.0	132.0	37.0	79.0	74.0	118.0	233.0	333.0	481.0	210.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Pseudomonadales; D_4__Pseudomonadaceae; D_5__Pseudomonas
GCVR01032299.115.1608	111.0	111.0	239.0	234.0	158.0	113.0	129.0	134.0	284.0	243.0	229.0	334.0	152.0	165.0	180.0	58.0	353.0	297.0	382.0	333.0	321.0	143.0	297.0	258.0	194.0	179.0	184.0	335.0	343.0	214.0	341.0	247.0	114.0	91.0	223.0	114.0	272.0	347.0	315.0	227.0	303.0	280.0	273.0	317.0	312.0	256.0	318.0	1.0	0.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Chloroplast
HO793511.1.1233	153.0	103.0	261.0	269.0	223.0	100.0	137.0	174.0	318.0	211.0	285.0	351.0	192.0	189.0	212.0	79.0	342.0	355.0	344.0	315.0	350.0	173.0	414.0	298.0	239.0	197.0	242.0	385.0	338.0	268.0	295.0	304.0	148.0	149.0	266.0	96.0	271.0	338.0	344.0	232.0	321.0	249.0	232.0	306.0	305.0	318.0	389.0	2.0	1.0	0.0	D_0__Bacteria; D_1__Cyanobacteria; D_2__Oxyphotobacteria; D_3__Chloroplast
KY646001.1.1573	25.0	6.0	60.0	108.0	16.0	39.0	38.0	50.0	62.0	103.0	87.0	102.0	63.0	424.0	14.0	3.0	2.0	2.0	0.0	2.0	0.0	15.0	0.0	1.0	3.0	4.0	12.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	12.0	3.0	11.0	0.0	0.0	0.0	9.0	20345.0	0.0	20800.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
EF528273.1.1512	14.0	9.0	47.0	184.0	36.0	41.0	33.0	112.0	59.0	129.0	67.0	110.0	12.0	495.0	9.0	3.0	0.0	0.0	5.0	0.0	0.0	41.0	0.0	3.0	6.0	0.0	26.0	0.0	0.0	2.0	2.0	3.0	1.0	0.0	0.0	43.0	3.0	0.0	6.0	3.0	4.0	6.0	6.0	3.0	3.0	0.0	14.0	22197.0	1.0	11818.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
LKHO01000001.198.1803	16.0	14.0	43.0	35.0	30.0	24.0	27.0	55.0	30.0	78.0	44.0	37.0	10.0	339.0	8.0	5.0	0.0	4.0	0.0	2.0	0.0	71.0	0.0	3.0	3.0	34.0	8.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	12.0	0.0	1.0	0.0	0.0	0.0	7.0	19540.0	1.0	18248.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Listeriaceae; D_5__Listeria; D_6__Listeria monocytogenes
